,Model,Data,RMSE
425,RandomForest,Weather Data Improvement,-1.4380717669774299
426,Linear,No Additional Data,52687.31467467584
427,Linear,Best Added-Feature Set,51294.51619465173
428,Linear,Best Added-Feature Set Improvement,2.6435176828124867
429,Linear,Day of Week Data Improvement,2.6435176828124867
430,Linear,Season Data Improvement,0.3474062172809056
431,Linear,Weather Data Improvement,-3.1061284638343807
432,Ridge,No Additional Data,52687.31467467588
433,Ridge,Best Added-Feature Set,32123.690843954886
434,Ridge,Best Added-Feature Set Improvement,39.029553807578814
435,Ridge,Day of Week Data Improvement,38.57941101583832
436,Ridge,Season Data Improvement,0.24264119300121934
437,Ridge,Weather Data Improvement,-0.7498635212720188
438,Lasso,No Additional Data,52687.31467467602
439,Lasso,Best Added-Feature Set,34539.87896409369
440,Lasso,Best Added-Feature Set Improvement,34.44365275139906
441,Lasso,Day of Week Data Improvement,34.44365275139906
442,Lasso,Season Data Improvement,0.25688449249230416
443,Lasso,Weather Data Improvement,-1.7522728211823875
444,GradientBoost,No Additional Data,38963.757355349204
445,GradientBoost,Best Added-Feature Set,27226.837562388628
446,GradientBoost,Best Added-Feature Set Improvement,30.122659080129125
447,GradientBoost,Day of Week Data Improvement,25.964235303200624
448,GradientBoost,Season Data Improvement,-4.852192109777363
449,GradientBoost,Weather Data Improvement,-12.170571081914872
450,SupportVector,No Additional Data,76860.97289892177
451,SupportVector,Best Added-Feature Set,73914.8767265295
452,SupportVector,Best Added-Feature Set Improvement,3.833019621370923
453,SupportVector,Day of Week Data Improvement,0.004811493333505723
454,SupportVector,Season Data Improvement,0.0003440126303786428
455,SupportVector,Weather Data Improvement,3.8323535867148024
456,MultilayerPerceptron,No Additional Data,46691.77661463245
457,MultilayerPerceptron,Best Added-Feature Set,35036.19058339076
458,MultilayerPerceptron,Best Added-Feature Set Improvement,24.962824026681005
459,MultilayerPerceptron,Day of Week Data Improvement,23.213881047316022
460,MultilayerPerceptron,Season Data Improvement,15.36411746531121
461,MultilayerPerceptron,Weather Data Improvement,20.883072892653757
462,kNearestNeighbor,No Additional Data,38561.57015342492
463,kNearestNeighbor,Best Added-Feature Set,37642.04599083726
464,kNearestNeighbor,Best Added-Feature Set Improvement,2.384560999277639
465,kNearestNeighbor,Day of Week Data Improvement,0.8848014857239832
466,kNearestNeighbor,Season Data Improvement,1.9180868130283386
467,kNearestNeighbor,Weather Data Improvement,1.5088631961857146
468,MovingAverage,No Additional Data,70313.33304484817
469,MovingAverage,Best Added-Feature Set,70313.33304484817
470,MovingAverage,Best Added-Feature Set Improvement,0.0
471,MovingAverage,Day of Week Data Improvement,0.0
472,MovingAverage,Season Data Improvement,0.0
473,MovingAverage,Weather Data Improvement,0.0
474,Poisson,No Additional Data,117763.08352605764
475,Poisson,Best Added-Feature Set,117763.08352605764
476,Poisson,Best Added-Feature Set Improvement,0.0
477,Poisson,Day of Week Data Improvement,0.0
478,Poisson,Season Data Improvement,0.0
479,Poisson,Weather Data Improvement,0.0
480,RandomForest,No Additional Data,36971.83446662699
481,RandomForest,Best Added-Feature Set,29337.781281462234
482,RandomForest,Best Added-Feature Set Improvement,20.648294290227113
483,RandomForest,Day of Week Data Improvement,18.269260077249413
484,RandomForest,Season Data Improvement,2.512480015794935
485,RandomForest,Weather Data Improvement,-6.556495720832089
486,Linear,No Additional Data,52661.890705599086
487,Linear,Best Added-Feature Set,52661.890705599086
488,Linear,Best Added-Feature Set Improvement,0.0
489,Linear,Day of Week Data Improvement,-6.60846039308457
490,Linear,Season Data Improvement,-0.11158841961827193
491,Linear,Weather Data Improvement,-2.591526671007827
492,Ridge,No Additional Data,52661.890705599086
493,Ridge,Best Added-Feature Set,36370.0920915718
494,Ridge,Best Added-Feature Set Improvement,30.936600254451406
495,Ridge,Day of Week Data Improvement,30.936600254451406
496,Ridge,Season Data Improvement,-0.05204046902817083
497,Ridge,Weather Data Improvement,-1.263428110602419
498,Lasso,No Additional Data,52661.890705599246
499,Lasso,Best Added-Feature Set,38539.036599558276
500,Lasso,Best Added-Feature Set Improvement,26.81797770040825
501,Lasso,Day of Week Data Improvement,26.81797770040825
502,Lasso,Season Data Improvement,-0.04259117074523999
503,Lasso,Weather Data Improvement,-1.8086160761739052
504,GradientBoost,No Additional Data,40742.22152499113
505,GradientBoost,Best Added-Feature Set,32931.72672938767
506,GradientBoost,Best Added-Feature Set Improvement,19.17051771664569
507,GradientBoost,Day of Week Data Improvement,16.694902682428676
508,GradientBoost,Season Data Improvement,-16.214528225940995
509,GradientBoost,Weather Data Improvement,-16.187612985859516
510,SupportVector,No Additional Data,108042.1988093055
511,SupportVector,Best Added-Feature Set,108040.79459145146
512,SupportVector,Best Added-Feature Set Improvement,0.0012996938876881359
513,SupportVector,Day of Week Data Improvement,0.0012996938876881359
