,Model,Data,RMSE
437,Ridge,Weather Data Improvement,-0.14266805269595295
438,Lasso,No Additional Data,43.887664972718774
439,Lasso,Any Data,32.658991519653476
440,Lasso,Any Data Improvement,25.585032742218587
441,Lasso,Day of Week Data Improvement,25.583690222069635
442,Lasso,Season Data Improvement,0.3211099138014504
443,Lasso,Weather Data Improvement,0.3886401180211294
444,GradientBoost,No Additional Data,40.04461748517406
445,GradientBoost,Any Data,33.29774994503412
446,GradientBoost,Any Data Improvement,16.848375546695806
447,GradientBoost,Day of Week Data Improvement,16.73909828585022
448,GradientBoost,Season Data Improvement,0.3710670584925424
449,GradientBoost,Weather Data Improvement,-6.356451403191542
450,SupportVector,No Additional Data,45.541078581245614
451,SupportVector,Any Data,45.541078581245614
452,SupportVector,Any Data Improvement,1.4210854715202004e-14
453,SupportVector,Day of Week Data Improvement,-2.910914609708044
454,SupportVector,Season Data Improvement,-3.120495478054181
455,SupportVector,Weather Data Improvement,-4.517775026647016
456,MultilayerPerceptron,No Additional Data,38.98110604261646
457,MultilayerPerceptron,Any Data,32.17868835571018
458,MultilayerPerceptron,Any Data Improvement,17.45055073468022
459,MultilayerPerceptron,Day of Week Data Improvement,15.591155938861206
460,MultilayerPerceptron,Season Data Improvement,1.5228303162025014
461,MultilayerPerceptron,Weather Data Improvement,-1.766770701566358
462,kNearestNeighbor,No Additional Data,45.328611709533725
463,kNearestNeighbor,Any Data,44.94853524497426
464,kNearestNeighbor,Any Data Improvement,0.8384912977150094
465,kNearestNeighbor,Day of Week Data Improvement,0.6877292960623436
466,kNearestNeighbor,Season Data Improvement,0.0
467,kNearestNeighbor,Weather Data Improvement,0.03341432523821197
468,MovingAverage,No Additional Data,55.04559149338976
469,MovingAverage,Any Data,55.04559149338976
470,MovingAverage,Any Data Improvement,0.0
471,MovingAverage,Day of Week Data Improvement,0.0
472,MovingAverage,Season Data Improvement,0.0
473,MovingAverage,Weather Data Improvement,0.0
474,Poisson,No Additional Data,46.50173709370369
475,Poisson,Any Data,36.392547913981595
476,Poisson,Any Data Improvement,21.73937966951965
477,Poisson,Day of Week Data Improvement,19.68739973872914
478,Poisson,Season Data Improvement,0.2873580132579434
479,Poisson,Weather Data Improvement,-1.7776095178466846
480,RandomForest,No Additional Data,43.13015371257697
481,RandomForest,Any Data,35.32617163565295
482,RandomForest,Any Data Improvement,18.094027971544975
483,RandomForest,Day of Week Data Improvement,17.138794797768398
484,RandomForest,Season Data Improvement,-1.2278817450005448
485,RandomForest,Weather Data Improvement,-3.0815853638239474
486,Linear,No Additional Data,47.301006975372225
487,Linear,Any Data,35.238042829651974
488,Linear,Any Data Improvement,25.50255251859852
489,Linear,Day of Week Data Improvement,25.50255251859852
490,Linear,Season Data Improvement,-0.20588296516578453
491,Linear,Weather Data Improvement,-0.7879438001440917
492,Ridge,No Additional Data,47.301009177764186
493,Ridge,Any Data,35.23907706247651
494,Ridge,Any Data Improvement,25.500369495198612
495,Ridge,Day of Week Data Improvement,25.500369495198612
496,Ridge,Season Data Improvement,-0.19575106581046953
497,Ridge,Weather Data Improvement,-0.771410442622809
498,Lasso,No Additional Data,47.310380412162104
499,Lasso,Any Data,35.88836481611961
500,Lasso,Any Data Improvement,24.142726176655785
501,Lasso,Day of Week Data Improvement,23.712138213047396
502,Lasso,Season Data Improvement,5.993352658606454e-08
503,Lasso,Weather Data Improvement,0.16797538568648918
504,GradientBoost,No Additional Data,42.860381668413424
505,GradientBoost,Any Data,34.17153361860533
506,GradientBoost,Any Data Improvement,20.27244674820865
507,GradientBoost,Day of Week Data Improvement,20.27244674820865
508,GradientBoost,Season Data Improvement,0.3245476777063345
509,GradientBoost,Weather Data Improvement,-9.651674482829932
510,SupportVector,No Additional Data,46.512091126673226
511,SupportVector,Any Data,46.512091126673226
512,SupportVector,Any Data Improvement,1.4210854715202004e-14
513,SupportVector,Day of Week Data Improvement,-2.2001849631489137
514,SupportVector,Season Data Improvement,-2.273364401656494
515,SupportVector,Weather Data Improvement,-3.496986883129992
516,MultilayerPerceptron,No Additional Data,45.549100741170776
517,MultilayerPerceptron,Any Data,34.80152739469367
518,MultilayerPerceptron,Any Data Improvement,23.595577457279248
519,MultilayerPerceptron,Day of Week Data Improvement,21.76725987566718
520,MultilayerPerceptron,Season Data Improvement,2.1134288058562305
521,MultilayerPerceptron,Weather Data Improvement,-1.27527761021679
522,kNearestNeighbor,No Additional Data,48.517842423531675
523,kNearestNeighbor,Any Data,48.01546736607881
524,kNearestNeighbor,Any Data Improvement,1.0354439364129888
525,kNearestNeighbor,Day of Week Data Improvement,0.6920183988618902
526,kNearestNeighbor,Season Data Improvement,0.10782615898173731
527,kNearestNeighbor,Weather Data Improvement,0.8308203156366574
528,MovingAverage,No Additional Data,57.808585725535835
529,MovingAverage,Any Data,57.808585725535835
530,MovingAverage,Any Data Improvement,0.0
531,MovingAverage,Day of Week Data Improvement,0.0
532,MovingAverage,Season Data Improvement,0.0
533,MovingAverage,Weather Data Improvement,0.0
534,Poisson,No Additional Data,50.01506884027545
535,Poisson,Any Data,36.05972046804109
536,Poisson,Any Data Improvement,27.90228764215273
537,Poisson,Day of Week Data Improvement,27.790512365457516
538,Poisson,Season Data Improvement,0.3054338903589411
539,Poisson,Weather Data Improvement,0.9824122931057389
540,RandomForest,No Additional Data,40.784581414488194
541,RandomForest,Any Data,34.24845161454633
542,RandomForest,Any Data Improvement,16.025982303253414
543,RandomForest,Day of Week Data Improvement,15.496310869769957
